timestamp,server_id,cpu_used,q_len,network_in,network_out,bottleneck
31.67,Server 0,92,10,43,49,1
31.67,Server 1,67,1,42,48,0
31.67,Server 2,97,9,18,37,1
32.51,Server 0,95,9,44,48,1
32.51,Server 1,85,9,41,41,1
32.51,Server 2,65,4,24,26,0
32.88,Server 0,79,7,53,52,0
32.88,Server 1,86,9,39,45,1
32.88,Server 2,85,8,18,20,1
33.77,Server 0,73,5,59,52,0
33.77,Server 1,94,10,39,30,1
33.77,Server 2,82,7,25,31,1
33.92,Server 0,74,9,53,50,0
33.92,Server 1,85,9,40,37,1
33.92,Server 2,94,8,28,23,1
35.24,Server 0,78,7,60,52,0
35.24,Server 1,59,8,36,35,0
35.24,Server 2,62,4,18,22,0
35.51,Server 0,81,7,46,48,1
35.51,Server 1,79,6,41,36,0
35.51,Server 2,90,9,20,14,1
36.55,Server 0,69,10,43,44,0
36.55,Server 1,92,9,29,28,1
36.55,Server 2,82,7,17,22,1
36.85,Server 0,75,7,47,53,0
36.85,Server 1,64,5,31,33,0
36.85,Server 2,91,9,14,23,1
37.32,Server 0,83,8,48,53,1
37.32,Server 1,80,10,43,44,1
37.32,Server 2,88,10,25,28,1
38.11,Server 0,85,9,43,43,1
38.11,Server 1,59,2,32,28,0
38.11,Server 2,67,4,17,19,0
38.51,Server 0,74,4,49,47,0
38.51,Server 1,87,9,25,30,1
38.51,Server 2,64,8,19,16,0
39.01,Server 0,59,7,40,49,0
39.01,Server 1,86,9,23,28,1
39.01,Server 2,64,4,22,17,0
39.4,Server 0,70,4,45,48,0
39.4,Server 1,66,7,29,40,0
39.4,Server 2,77,6,18,11,0
41.23,Server 0,77,6,41,49,0
41.23,Server 1,58,6,32,28,0
41.23,Server 2,61,6,10,17,0
42.0,Server 0,74,9,45,41,0
42.0,Server 1,74,5,12,23,0
42.0,Server 2,70,7,8,17,0
43.19,Server 0,67,7,43,52,0
43.19,Server 1,62,10,25,20,0
43.19,Server 2,60,3,5,11,0
45.03,Server 0,62,10,39,26,0
45.03,Server 1,42,5,16,19,0
45.03,Server 2,67,7,10,1,0
45.65,Server 0,57,4,34,41,0
45.65,Server 1,54,3,18,22,0
45.65,Server 2,56,4,2,5,0
46.51,Server 0,73,9,27,38,0
46.51,Server 1,61,7,20,17,0
46.51,Server 2,52,6,4,11,0
47.3,Server 0,51,8,36,42,0
47.3,Server 1,47,4,15,28,0
47.3,Server 2,60,4,0,14,0
47.8,Server 0,66,2,41,44,0
47.8,Server 1,57,5,16,28,0
47.8,Server 2,56,7,10,3,0
51.13,Server 0,44,2,34,32,0
51.13,Server 1,45,4,17,22,0
51.13,Server 2,53,4,9,14,0
52.24,Server 0,29,3,28,34,0
52.24,Server 1,41,2,7,10,0
52.24,Server 2,42,3,0,6,0
52.47,Server 0,45,4,28,26,0
52.47,Server 1,53,3,10,15,0
52.47,Server 2,63,8,9,4,0
53.15,Server 0,62,4,21,32,0
53.15,Server 1,60,6,12,5,0
53.15,Server 2,37,0,6,6,0
54.13,Server 0,45,1,19,30,0
54.13,Server 1,38,0,14,17,0
54.13,Server 2,23,2,0,3,0
55.8,Server 0,22,0,19,21,0
55.8,Server 1,28,0,1,7,0
55.8,Server 2,30,0,2,0,0
57.41,Server 0,27,1,15,16,0
57.41,Server 1,32,6,3,8,0
57.41,Server 2,25,3,9,5,0
57.77,Server 0,43,4,12,19,0
57.77,Server 1,30,4,9,8,0
57.77,Server 2,46,8,0,6,0
57.97,Server 0,40,6,29,10,0
57.97,Server 1,22,2,8,11,0
57.97,Server 2,14,1,11,0,0
59.13,Server 0,41,3,9,6,0
59.13,Server 1,27,1,12,10,0
59.13,Server 2,31,3,7,0,0
61.41,Server 0,19,2,20,10,0
61.41,Server 1,25,3,4,6,0
61.41,Server 2,16,2,10,8,0
61.53,Server 0,1,0,10,17,0
61.53,Server 1,34,3,2,11,0
61.53,Server 2,25,5,5,3,0
62.02,Server 0,31,5,11,11,0
62.02,Server 1,8,2,2,10,0
62.02,Server 2,12,0,2,2,0
63.42,Server 0,34,5,15,11,0
63.42,Server 1,15,0,5,4,0
63.42,Server 2,21,2,9,5,0
64.1,Server 0,22,0,14,11,0
64.1,Server 1,24,0,0,8,0
64.1,Server 2,17,0,12,8,0
64.67,Server 0,10,2,13,15,0
64.67,Server 1,32,4,2,1,0
64.67,Server 2,8,0,8,11,0
66.12,Server 0,35,1,12,8,0
66.12,Server 1,8,1,4,2,0
66.12,Server 2,5,0,15,2,0
66.91,Server 0,0,3,9,3,0
66.91,Server 1,2,0,8,8,0
66.91,Server 2,0,1,21,6,0
68.61,Server 0,21,0,9,4,0
68.61,Server 1,8,4,10,6,0
68.61,Server 2,8,0,13,17,0
70.13,Server 0,24,1,9,1,0
70.13,Server 1,23,0,18,0,0
70.13,Server 2,6,0,9,15,0
70.38,Server 0,15,3,1,12,0
70.38,Server 1,10,0,8,8,0
70.38,Server 2,12,0,11,11,0
70.46,Server 0,8,1,5,8,0
70.46,Server 1,15,1,15,3,0
70.46,Server 2,27,8,22,21,0
70.87,Server 0,0,0,4,10,0
70.87,Server 1,0,3,7,0,0
70.87,Server 2,16,4,29,17,0
72.15,Server 0,22,2,3,1,0
72.15,Server 1,26,3,6,14,0
72.15,Server 2,32,2,24,25,0
72.25,Server 0,21,2,5,9,0
72.25,Server 1,24,2,14,0,0
72.25,Server 2,0,0,22,21,0
72.39,Server 0,0,0,6,7,0
72.39,Server 1,16,2,6,6,0
72.39,Server 2,18,0,13,19,0
72.71,Server 0,24,2,7,0,0
72.71,Server 1,0,2,4,9,0
72.71,Server 2,13,0,13,19,0
73.39,Server 0,7,0,10,0,0
73.39,Server 1,2,3,9,3,0
73.39,Server 2,10,1,31,11,0
73.76,Server 0,0,0,4,1,0
73.76,Server 1,19,0,15,13,0
73.76,Server 2,0,1,3,16,0
74.01,Server 0,28,5,5,4,0
74.01,Server 1,13,0,4,7,0
74.01,Server 2,0,0,23,22,0
75.47,Server 0,1,0,4,1,0
75.47,Server 1,0,0,11,7,0
75.47,Server 2,0,0,28,12,0
77.77,Server 0,24,4,5,7,0
77.77,Server 1,26,0,9,11,0
77.77,Server 2,4,0,30,24,0
77.8,Server 0,11,1,0,8,0
77.8,Server 1,2,0,12,13,0
77.8,Server 2,22,3,28,19,0
79.33,Server 0,13,4,9,0,0
79.33,Server 1,6,0,11,0,0
79.33,Server 2,12,5,19,23,0
82.64,Server 0,20,3,5,17,0
82.64,Server 1,28,0,15,11,0
82.64,Server 2,12,0,39,32,0
82.82,Server 0,19,0,13,5,0
82.82,Server 1,17,1,13,16,0
82.82,Server 2,7,0,40,37,0
83.1,Server 0,12,3,13,9,0
83.1,Server 1,14,0,19,20,0
83.1,Server 2,20,1,26,35,0
83.12,Server 0,13,0,2,6,0
83.12,Server 1,16,4,18,22,0
83.12,Server 2,27,1,29,41,0
83.75,Server 0,28,5,11,14,0
83.75,Server 1,25,2,24,23,0
83.75,Server 2,8,0,41,33,0
85.45,Server 0,20,0,12,7,0
85.45,Server 1,15,3,31,16,0
85.45,Server 2,8,1,39,40,0
91.6,Server 0,25,2,16,20,0
91.6,Server 1,15,1,31,26,0
91.6,Server 2,26,0,44,46,0
91.88,Server 0,41,4,16,15,0
91.88,Server 1,18,0,35,34,0
91.88,Server 2,31,0,46,52,0
92.07,Server 0,42,7,23,14,0
92.07,Server 1,36,1,35,36,0
92.07,Server 2,25,0,46,46,0
93.07,Server 0,32,4,17,15,0
93.07,Server 1,40,7,40,33,0
93.07,Server 2,13,0,37,52,0
93.37,Server 0,31,6,11,22,0
93.37,Server 1,32,2,40,36,0
93.37,Server 2,35,2,51,54,0
94.33,Server 0,52,4,28,27,0
94.33,Server 1,51,1,40,36,0
94.33,Server 2,32,3,48,47,0
94.39,Server 0,43,5,34,26,0
94.39,Server 1,20,0,32,46,0
94.39,Server 2,36,3,50,45,0
95.8,Server 0,51,8,18,18,0
95.8,Server 1,31,0,33,32,0
95.8,Server 2,63,8,49,56,0
96.49,Server 0,47,2,32,28,0
96.49,Server 1,23,5,42,29,0
96.49,Server 2,40,5,53,50,0
96.57,Server 0,37,3,22,30,0
96.57,Server 1,38,3,38,38,0
96.57,Server 2,50,0,44,46,0
96.65,Server 0,42,4,23,28,0
96.65,Server 1,32,1,35,35,0
96.65,Server 2,30,2,58,45,0
96.87,Server 0,56,6,16,14,0
96.87,Server 1,45,4,44,47,0
96.87,Server 2,51,3,55,51,0
96.91,Server 0,54,3,21,22,0
96.91,Server 1,35,5,34,37,0
96.91,Server 2,41,5,54,55,0
97.04,Server 0,37,3,22,31,0
97.04,Server 1,49,4,49,35,0
97.04,Server 2,29,1,47,57,0
98.67,Server 0,53,5,33,31,0
98.67,Server 1,51,7,44,46,0
98.67,Server 2,58,4,47,56,0
99.87,Server 0,62,2,30,35,0
99.87,Server 1,56,5,45,49,0
99.87,Server 2,44,2,52,53,0
99.94,Server 0,51,2,22,26,0
99.94,Server 1,48,3,48,46,0
99.94,Server 2,55,4,61,61,0
101.03,Server 0,75,6,28,26,0
101.03,Server 1,64,3,47,44,0
101.03,Server 2,44,2,52,53,0
107.57,Server 0,66,5,48,49,0
107.57,Server 1,71,7,55,63,0
107.57,Server 2,76,5,51,58,0
107.6,Server 0,63,6,47,34,0
107.6,Server 1,67,3,53,47,0
107.6,Server 2,76,9,55,58,0
107.61,Server 0,50,3,41,40,0
107.61,Server 1,68,6,49,56,0
107.61,Server 2,66,2,61,56,0
109.48,Server 0,83,9,33,40,1
109.48,Server 1,52,4,56,50,0
109.48,Server 2,70,6,46,55,0
110.32,Server 0,82,8,46,49,1
110.32,Server 1,83,6,52,52,1
110.32,Server 2,59,3,51,65,0
110.42,Server 0,83,7,54,49,1
110.42,Server 1,63,4,49,57,0
110.42,Server 2,86,9,59,54,1
111.32,Server 0,91,9,44,41,1
111.32,Server 1,67,3,55,54,0
111.32,Server 2,78,7,47,56,0
111.57,Server 0,78,5,56,37,0
111.57,Server 1,96,4,46,53,1
111.57,Server 2,85,8,57,42,1
112.32,Server 0,62,9,39,51,0
112.32,Server 1,94,10,61,44,1
112.32,Server 2,66,6,51,51,0
113.06,Server 0,100,9,50,54,1
113.06,Server 1,82,7,54,53,1
113.06,Server 2,77,10,52,54,0
114.52,Server 0,80,10,46,46,1
114.52,Server 1,74,8,51,57,0
114.52,Server 2,84,7,51,40,1
115.17,Server 0,70,5,58,49,0
115.17,Server 1,80,10,55,59,1
115.17,Server 2,71,9,51,46,0
115.67,Server 0,100,10,50,48,1
115.67,Server 1,85,8,60,45,1
115.67,Server 2,95,5,56,49,1
116.18,Server 0,85,9,52,58,1
116.18,Server 1,92,9,55,61,1
116.18,Server 2,70,5,52,53,0
116.52,Server 0,79,6,55,43,0
116.52,Server 1,83,6,55,54,1
116.52,Server 2,93,8,57,43,1
118.23,Server 0,100,10,52,44,1
118.23,Server 1,86,10,61,53,1
118.23,Server 2,78,9,48,51,0
119.52,Server 0,71,7,52,63,0
119.52,Server 1,96,8,49,51,1
119.52,Server 2,91,10,38,47,1
119.93,Server 0,87,10,45,43,1
119.93,Server 1,80,8,57,59,1
119.93,Server 2,93,10,44,46,1
120.42,Server 0,100,9,46,58,1
120.42,Server 1,89,4,49,49,1
120.42,Server 2,73,9,40,38,0
120.84,Server 0,74,9,57,59,0
120.84,Server 1,100,8,52,53,1
120.84,Server 2,82,10,46,47,1
121.07,Server 0,100,6,57,53,1
121.07,Server 1,83,7,48,58,1
121.07,Server 2,77,8,40,40,0
122.85,Server 0,75,7,53,61,0
122.85,Server 1,100,10,52,60,1
122.85,Server 2,100,10,47,45,1
123.41,Server 0,68,4,55,48,0
123.41,Server 1,86,4,52,49,1
123.41,Server 2,77,7,43,39,0
124.98,Server 0,89,5,50,54,1
124.98,Server 1,99,8,46,46,1
124.98,Server 2,86,10,34,46,1
125.02,Server 0,77,7,53,50,0
125.02,Server 1,68,7,55,48,0
125.02,Server 2,98,6,36,37,1
125.13,Server 0,97,10,46,63,1
125.13,Server 1,97,10,50,47,1
125.13,Server 2,81,8,29,34,1
125.26,Server 0,67,5,54,60,0
125.26,Server 1,89,9,53,56,1
125.26,Server 2,100,10,35,37,1
127.03,Server 0,91,9,60,61,1
127.03,Server 1,86,10,56,40,1
127.03,Server 2,100,6,29,33,1
127.06,Server 0,100,9,51,45,1
127.06,Server 1,96,10,51,54,1
127.06,Server 2,76,8,32,33,0
127.72,Server 0,100,9,51,52,1
127.72,Server 1,84,5,45,50,1
127.72,Server 2,100,7,32,29,1
129.15,Server 0,85,10,55,56,1
129.15,Server 1,93,8,45,41,1
129.15,Server 2,95,10,39,32,1
129.98,Server 0,87,8,46,52,1
129.98,Server 1,97,10,45,42,1
129.98,Server 2,85,6,28,29,1
130.53,Server 0,87,8,55,54,1
130.53,Server 1,78,8,46,33,0
130.53,Server 2,91,10,27,27,1
131.12,Server 0,88,10,58,54,1
131.12,Server 1,69,5,47,39,0
131.12,Server 2,64,5,19,25,0
131.38,Server 0,87,6,54,57,1
131.38,Server 1,89,9,52,50,1
131.38,Server 2,73,9,25,30,0
131.56,Server 0,77,5,55,52,0
131.56,Server 1,99,10,40,40,1
131.56,Server 2,89,6,25,26,1
131.63,Server 0,95,10,49,53,1
131.63,Server 1,88,6,39,49,1
131.63,Server 2,92,10,22,31,1
131.99,Server 0,96,8,57,54,1
131.99,Server 1,86,10,37,52,1
131.99,Server 2,83,9,27,27,1
132.95,Server 0,94,9,46,56,1
132.95,Server 1,88,8,38,42,1
132.95,Server 2,99,10,21,31,1
134.63,Server 0,78,7,48,56,0
134.63,Server 1,75,5,40,35,0
134.63,Server 2,85,10,25,19,1
136.32,Server 0,77,8,42,47,0
136.32,Server 1,78,9,38,38,0
136.32,Server 2,85,8,13,12,1
136.42,Server 0,85,8,46,44,1
136.42,Server 1,88,6,28,40,1
136.42,Server 2,64,2,26,17,0
136.87,Server 0,70,8,44,56,0
136.87,Server 1,61,5,32,29,0
136.87,Server 2,69,7,20,16,0
137.53,Server 0,84,9,54,45,1
137.53,Server 1,85,10,21,31,1
137.53,Server 2,60,4,24,29,0
139.65,Server 0,70,5,43,41,0
139.65,Server 1,87,10,39,33,1
139.65,Server 2,99,9,18,14,1
141.53,Server 0,75,7,40,46,0
141.53,Server 1,86,8,24,25,1
141.53,Server 2,67,6,8,6,0
143.45,Server 0,56,5,47,46,0
143.45,Server 1,72,6,28,17,0
143.45,Server 2,60,5,12,7,0
144.53,Server 0,69,8,32,43,0
144.53,Server 1,66,5,23,24,0
144.53,Server 2,71,4,8,15,0
145.0,Server 0,69,5,33,40,0
145.0,Server 1,72,6,17,18,0
145.0,Server 2,47,7,7,13,0
145.22,Server 0,56,3,33,36,0
145.22,Server 1,75,6,22,21,0
145.22,Server 2,62,5,5,13,0
146.51,Server 0,54,7,32,43,0
146.51,Server 1,44,2,21,20,0
146.51,Server 2,73,4,15,4,0
146.63,Server 0,62,2,32,43,0
146.63,Server 1,62,6,23,11,0
146.63,Server 2,57,4,9,7,0
147.17,Server 0,53,7,30,26,0
147.17,Server 1,70,7,17,10,0
147.17,Server 2,43,4,17,7,0
147.82,Server 0,67,4,44,26,0
147.82,Server 1,40,2,23,25,0
147.82,Server 2,59,7,10,3,0
149.66,Server 0,46,4,29,32,0
149.66,Server 1,55,2,11,9,0
149.66,Server 2,51,7,17,5,0
150.71,Server 0,37,5,23,23,0
150.71,Server 1,40,2,18,14,0
150.71,Server 2,55,4,12,7,0
151.27,Server 0,69,3,39,23,0
151.27,Server 1,49,2,12,4,0
151.27,Server 2,50,7,0,2,0
151.64,Server 0,40,3,29,23,0
151.64,Server 1,14,3,16,7,0
151.64,Server 2,56,7,9,3,0
152.84,Server 0,40,3,25,23,0
152.84,Server 1,26,1,12,20,0
152.84,Server 2,29,0,19,10,0
152.87,Server 0,36,6,26,23,0
152.87,Server 1,41,1,12,13,0
152.87,Server 2,58,4,7,11,0
153.53,Server 0,52,2,21,24,0
153.53,Server 1,52,3,7,14,0
153.53,Server 2,30,2,8,16,0
158.87,Server 0,19,0,14,26,0
158.87,Server 1,33,0,10,9,0
158.87,Server 2,41,2,6,11,0
159.09,Server 0,29,1,30,13,0
159.09,Server 1,35,2,1,14,0
159.09,Server 2,25,3,0,3,0
160.27,Server 0,26,5,16,9,0
160.27,Server 1,21,0,14,8,0
160.27,Server 2,24,3,6,0,0
162.41,Server 0,30,0,11,14,0
162.41,Server 1,7,2,7,1,0
162.41,Server 2,22,4,4,0,0
164.21,Server 0,29,2,8,15,0
164.21,Server 1,5,1,1,4,0
164.21,Server 2,17,1,10,9,0
165.01,Server 0,21,4,10,10,0
165.01,Server 1,6,0,2,10,0
165.01,Server 2,33,4,9,6,0
166.62,Server 0,35,5,9,5,0
166.62,Server 1,9,2,12,0,0
166.62,Server 2,21,5,9,14,0
167.38,Server 0,23,0,10,6,0
167.38,Server 1,26,0,13,9,0
167.38,Server 2,26,1,17,9,0
168.17,Server 0,23,5,11,7,0
168.17,Server 1,20,4,5,0,0
168.17,Server 2,7,3,11,11,0
172.11,Server 0,17,1,1,8,0
172.11,Server 1,19,0,12,6,0
172.11,Server 2,20,0,18,17,0
172.39,Server 0,11,1,1,5,0
172.39,Server 1,27,2,3,0,0
172.39,Server 2,19,2,17,18,0
174.06,Server 0,5,0,1,14,0
174.06,Server 1,17,0,5,16,0
174.06,Server 2,15,2,9,23,0
174.43,Server 0,18,0,4,8,0
174.43,Server 1,16,5,11,3,0
174.43,Server 2,0,3,19,22,0
175.39,Server 0,12,1,10,3,0
175.39,Server 1,16,4,2,2,0
175.39,Server 2,18,1,22,33,0
176.8,Server 0,0,0,9,7,0
176.8,Server 1,16,0,11,6,0
176.8,Server 2,0,0,23,24,0
177.02,Server 0,22,2,2,7,0
177.02,Server 1,0,0,14,25,0
177.02,Server 2,21,5,17,19,0
179.52,Server 0,31,6,3,6,0
179.52,Server 1,12,2,7,14,0
179.52,Server 2,28,2,33,26,0
180.67,Server 0,1,0,10,6,0
180.67,Server 1,0,0,20,11,0
180.67,Server 2,22,5,32,37,0
180.92,Server 0,28,1,3,0,0
180.92,Server 1,11,2,19,14,0
180.92,Server 2,26,4,28,33,0
181.35,Server 0,22,4,5,8,0
181.35,Server 1,31,4,14,19,0
181.35,Server 2,0,3,29,26,0
181.36,Server 0,0,2,14,10,0
181.36,Server 1,12,3,16,22,0
181.36,Server 2,18,0,28,31,0
181.87,Server 0,20,4,8,2,0
181.87,Server 1,15,0,21,13,0
181.87,Server 2,12,0,35,28,0
183.18,Server 0,0,0,4,0,0
183.18,Server 1,23,2,16,22,0
183.18,Server 2,11,2,32,32,0
185.35,Server 0,15,2,1,6,0
185.35,Server 1,24,2,23,25,0
185.35,Server 2,3,1,42,38,0
186.94,Server 0,0,0,16,18,0
186.94,Server 1,42,3,27,26,0
186.94,Server 2,21,2,40,36,0
187.4,Server 0,43,4,11,2,0
187.4,Server 1,17,0,28,35,0
187.4,Server 2,13,1,43,39,0
189.14,Server 0,32,5,13,8,0
189.14,Server 1,24,3,24,21,0
189.14,Server 2,33,4,40,43,0
189.61,Server 0,19,0,13,13,0
189.61,Server 1,13,0,23,24,0
189.61,Server 2,16,0,50,46,0
190.65,Server 0,10,3,27,24,0
190.65,Server 1,13,2,24,38,0
190.65,Server 2,19,3,46,43,0
190.73,Server 0,34,3,22,16,0
190.73,Server 1,33,1,32,29,0
190.73,Server 2,44,3,39,44,0
190.97,Server 0,6,3,22,8,0
190.97,Server 1,29,3,27,35,0
190.97,Server 2,24,0,47,53,0
191.7,Server 0,37,3,15,14,0
191.7,Server 1,7,0,40,35,0
191.7,Server 2,34,4,40,46,0
192.67,Server 0,47,5,22,28,0
192.67,Server 1,15,3,34,37,0
192.67,Server 2,54,8,56,43,0
192.87,Server 0,38,3,18,12,0
192.87,Server 1,30,0,34,43,0
192.87,Server 2,35,1,50,38,0
194.29,Server 0,23,3,21,20,0
194.29,Server 1,34,2,36,37,0
194.29,Server 2,41,2,45,52,0
194.39,Server 0,42,5,11,15,0
194.39,Server 1,59,5,39,40,0
194.39,Server 2,36,2,48,50,0
194.86,Server 0,47,3,27,25,0
194.86,Server 1,43,2,39,45,0
194.86,Server 2,47,1,54,49,0
194.97,Server 0,48,4,17,20,0
194.97,Server 1,44,8,43,42,0
194.97,Server 2,44,1,47,55,0
195.85,Server 0,47,1,16,27,0
195.85,Server 1,48,4,37,37,0
195.85,Server 2,38,3,52,50,0
197.61,Server 0,38,1,34,23,0
197.61,Server 1,41,3,45,36,0
197.61,Server 2,65,7,47,54,0
198.26,Server 0,48,5,20,19,0
198.26,Server 1,32,7,36,41,0
198.26,Server 2,51,2,56,56,0
198.42,Server 0,46,3,32,23,0
198.42,Server 1,54,6,42,45,0
198.42,Server 2,45,5,53,60,0
201.49,Server 0,63,7,21,31,0
201.49,Server 1,78,6,44,49,0
201.49,Server 2,39,3,48,50,0
203.04,Server 0,69,6,27,40,0
203.04,Server 1,49,2,51,47,0
203.04,Server 2,48,5,57,64,0
203.93,Server 0,76,8,42,41,0
203.93,Server 1,70,6,47,50,0
203.93,Server 2,63,8,59,52,0
205.55,Server 0,64,4,41,41,0
205.55,Server 1,61,6,46,57,0
205.55,Server 2,85,7,53,65,1
206.2,Server 0,61,4,32,39,0
206.2,Server 1,65,7,63,64,0
206.2,Server 2,49,4,50,56,0
207.15,Server 0,53,8,41,40,0
207.15,Server 1,76,9,58,51,0
207.15,Server 2,65,0,48,52,0
209.52,Server 0,78,6,38,43,0
209.52,Server 1,63,6,56,50,0
209.52,Server 2,78,6,52,59,0
209.53,Server 0,86,10,39,37,1
209.53,Server 1,79,6,50,62,0
209.53,Server 2,68,2,58,52,0
210.16,Server 0,67,3,49,52,0
210.16,Server 1,55,2,64,56,0
210.16,Server 2,61,9,53,41,0
210.3,Server 0,77,4,40,39,0
210.3,Server 1,74,7,54,54,0
210.3,Server 2,76,2,41,56,0
211.44,Server 0,76,7,48,52,0
211.44,Server 1,53,5,54,52,0
211.44,Server 2,73,9,51,66,0
213.27,Server 0,75,6,46,49,0
213.27,Server 1,76,5,60,53,0
213.27,Server 2,84,9,54,49,1
213.62,Server 0,84,7,36,48,1
213.62,Server 1,84,7,59,59,1
213.62,Server 2,73,8,56,47,0
214.29,Server 0,80,7,59,55,1
214.29,Server 1,90,10,63,48,1
214.29,Server 2,83,6,50,47,1
214.84,Server 0,87,10,48,47,1
214.84,Server 1,75,7,52,54,0
214.84,Server 2,84,8,50,56,1
215.25,Server 0,85,9,49,51,1
215.25,Server 1,66,3,59,55,0
215.25,Server 2,72,5,46,47,0
215.54,Server 0,90,5,58,50,1
215.54,Server 1,84,10,51,59,1
215.54,Server 2,89,8,54,50,1
217.27,Server 0,76,7,53,50,0
217.27,Server 1,74,5,53,46,0
217.27,Server 2,100,10,44,46,1
218.85,Server 0,74,10,50,49,0
218.85,Server 1,88,8,54,45,1
218.85,Server 2,100,10,44,47,1
219.46,Server 0,90,9,46,43,1
219.46,Server 1,75,9,48,53,0
219.46,Server 2,74,8,48,50,0
221.48,Server 0,100,8,52,47,1
221.48,Server 1,94,6,53,51,1
221.48,Server 2,100,9,35,43,1
222.59,Server 0,89,10,49,54,1
222.59,Server 1,72,6,52,56,0
222.59,Server 2,77,10,33,44,0
223.45,Server 0,71,7,48,60,0
223.45,Server 1,100,10,51,62,1
223.45,Server 2,79,8,38,49,0
225.4,Server 0,87,9,61,59,1
225.4,Server 1,82,7,42,52,1
225.4,Server 2,83,9,33,33,1
226.48,Server 0,100,7,58,68,1
226.48,Server 1,100,10,45,51,1
226.48,Server 2,100,10,35,43,1
228.28,Server 0,100,9,58,48,1
228.28,Server 1,100,10,48,54,1
228.28,Server 2,94,8,28,38,1
229.12,Server 0,100,10,54,49,1
229.12,Server 1,85,10,52,43,1
229.12,Server 2,95,10,38,22,1
230.78,Server 0,68,10,60,52,0
230.78,Server 1,100,10,44,40,1
230.78,Server 2,90,8,26,37,1
231.61,Server 0,80,9,50,55,1
231.61,Server 1,84,10,40,41,1
231.61,Server 2,83,6,30,26,1
231.94,Server 0,87,8,56,60,1
231.94,Server 1,94,10,46,25,1
231.94,Server 2,94,8,26,21,1
233.56,Server 0,100,10,52,50,1
233.56,Server 1,75,10,51,44,0
233.56,Server 2,81,10,25,21,1
235.25,Server 0,83,7,56,50,1
235.25,Server 1,83,7,41,33,1
235.25,Server 2,70,7,26,17,0
241.51,Server 0,67,6,42,42,0
241.51,Server 1,78,10,21,31,0
241.51,Server 2,83,10,22,10,1
242.32,Server 0,73,4,36,37,0
242.32,Server 1,74,6,23,33,0
242.32,Server 2,41,7,10,10,0
242.41,Server 0,70,7,31,42,0
242.41,Server 1,65,9,22,27,0
242.41,Server 2,73,8,0,6,0
242.55,Server 0,66,6,40,40,0
242.55,Server 1,69,6,30,25,0
242.55,Server 2,57,6,24,17,0
243.57,Server 0,70,5,31,42,0
243.57,Server 1,72,9,31,28,0
243.57,Server 2,47,3,12,15,0
244.21,Server 0,75,6,38,34,0
244.21,Server 1,66,6,22,19,0
244.21,Server 2,79,8,2,10,0
246.04,Server 0,67,9,34,36,0
